agent_id,welfare
opus-4.6_run01,0.135106
opus-4.6_run02,0.093191
opus-4.6_run03,0.074255
opus-4.6_run04,0.150426
opus-4.6_run05,0.126596
opus-4.6_run06,0.138723
opus-4.6_run07,0.077660
opus-4.6_run08,0.094468
opus-4.6_run09,0.132979
opus-4.6_run10,0.132979
opus-4.6_run11,0.115319
opus-4.6_run12,0.081915
opus-4.6_run13,0.130638
opus-4.6_run14,0.075106
opus-4.6_run15,0.127021
opus-4.6_run17,0.084894
opus-4.6_run18,0.126809
opus-4.6_run19,0.083191
opus-4.6_run20,0.112766
opus-4.6_run22,0.132979
opus-4.6_run23,0.144468
opus-4.6_run24,0.107447
opus-4.6_run25,0.137447
opus-4.6_run26,0.160638
opus-4.6_run27,0.104255
opus-4.6_run28,0.092553
opus-4.6_run29,0.103191
opus-4.6_run30,0.096809
opus-4.6_run31,0.088085
opus-4.6_run32,0.087447
opus-4.6_run33,0.108085
opus-4.6_run34,0.133617
opus-4.6_run35,0.094681
opus-4.6_run36,0.120426
opus-4.6_run37,0.140851
opus-4.6_run38,0.124043
opus-4.6_run39,0.147447
opus-4.6_run40,0.110638
opus-4.6_run41,0.087872
opus-4.6_run42,0.111915
opus-4.6_run43,0.110638
opus-4.6_run44,0.104255
opus-4.6_run45,0.088936
opus-4.6_run46,0.115957
opus-4.6_run47,0.103191
opus-4.6_run48,0.065957
opus-4.6_run49,0.106383
opus-4.6_run50,0.105745
